id,title,created_at,updated_at,nominal
1,Est-ce un sport se jouant à l'extérieur,2016-03-15 14:50:38.194004,2016-03-15 14:50:38.194004,
3,Est-ce un sport collectif,2016-03-15 15:36:50.269377,2016-03-15 15:36:50.269377,collectif
4,Est-ce un sport ou on doit affronter d'autres joueurs,2016-03-15 15:36:50.29116,2016-03-15 15:36:50.29116,affrontement_seul
5,Est-ce un sport dangereux,2016-03-15 15:36:50.299568,2016-03-15 15:36:50.299568,dangereux
7,Est-ce un sport de combat,2016-03-15 15:36:50.317061,2016-03-15 15:36:50.317061,combat
8,Est-ce un sport violent,2016-03-15 15:36:50.324781,2016-03-15 15:36:50.324781,violent
9,Est-ce un sport inscrit aux jeux olympiques,2016-03-15 15:36:50.334012,2016-03-15 15:36:50.334012,jeux_olympique
10,Est-ce un sport ou deux équipes s'affrontent,2016-03-15 15:36:50.341421,2016-03-15 15:36:50.341421,affrontement_equipe
11,Est-ce un sport ou il faut marquer des points,2016-03-15 15:36:50.350457,2016-03-15 15:36:50.350457,points
12,Est-ce un sport d'agilité,2016-03-15 15:36:50.358645,2016-03-15 15:36:50.358645,agilite
13,Est-ce un sport ou il faut faire des figures,2016-03-15 15:36:50.366908,2016-03-15 15:36:50.366908,figures
14,Est-ce un sport d'attaque,2016-03-15 15:36:50.374626,2016-03-15 15:36:50.374626,attaque
15,Est-ce qu'il y a plus de 5 joueurs dans l'équipe,2016-03-15 15:36:50.383767,2016-03-15 15:36:50.383767,plus_5_joueurs
16,Est-ce un sport d'origine américaine,2016-03-15 15:36:50.39141,2016-03-15 15:36:50.39141,americaine
17,Est-ce un sport d'origine asiatique,2016-03-15 15:36:50.400478,2016-03-15 15:36:50.400478,asiatique
18,Est-ce un sport d'origine anglaise,2016-03-15 15:36:50.408493,2016-03-15 15:36:50.408493,anglaise
19,Est-ce un sport datant de l'antiquité,2016-03-15 15:36:50.416975,2016-03-15 15:36:50.416975,antiquite
20,Est-ce un sport nécessitant un ou des accessoires,2016-03-15 15:36:50.425015,2016-03-15 15:36:50.425015,accessoire
24,Est-ce un sport se jouant avec des raquettes,2016-03-15 15:36:50.458332,2016-03-15 15:36:50.458332,raquette
27,Est-ce un sport se jouant avec une arme,2016-03-15 15:36:50.483224,2016-03-15 15:36:50.483224,arme
28,Est-ce un sport se jouant à la main,2016-03-15 15:36:50.491322,2016-03-15 15:36:50.491322,main
30,Est-ce un sport nécessitant un panier,2016-03-15 15:36:50.508392,2016-03-15 15:36:50.508392,panier
32,Est-ce un sport se jouant avec des protections,2016-03-15 15:36:50.52529,2016-03-15 15:36:50.52529,protections
33,Est-ce un sport nécessitant un vélo,2016-03-15 15:36:50.533499,2016-03-15 15:36:50.533499,velo
34,Est-ce un sport nécessitant une planche,2016-03-15 15:36:50.54178,2016-03-15 15:36:50.54178,plance
38,Est-ce un sport de montagne,2016-03-15 15:36:50.574615,2016-03-15 15:36:50.574615,montagne
39,Est-ce un sport se jouant sur une pelouse,2016-03-15 15:36:50.582964,2016-03-15 15:36:50.582964,pelouse
40,Est-ce un sport se jouant sur un tatami,2016-03-15 15:36:50.591486,2016-03-15 15:36:50.591486,tatami
41,Est-ce un sport d'hiver,2016-03-15 15:36:50.600343,2016-03-15 15:36:50.600343,hiver
42,Est-ce un sport de rue,2016-03-15 15:36:50.609178,2016-03-15 15:36:50.609178,rue
43,Est-ce un sport se jouant sur de la terre battue,2016-03-15 15:36:50.616241,2016-03-15 15:36:50.616241,terre_battue
44,Est-ce un sport se jouant en salle,2016-03-15 15:36:50.624869,2016-03-15 15:36:50.624869,salle
46,Est-ce un sport aquatique,2016-03-15 15:36:50.641252,2016-03-15 15:36:50.641252,aquatique
47,Est-ce un sport aérien,2016-03-15 15:36:50.65077,2016-03-15 15:36:50.65077,aerien
23,Est-ce un sport se jouant avec une ou des balles,2016-03-15 15:36:50.450106,2016-03-17 12:54:03.785023,balles
