id,name,created_at,updated_at
50,Accrobranche,2016-03-15 13:49:16.623028,2016-03-15 13:49:16.623028
52,Aviron,2016-03-15 13:49:16.656617,2016-03-15 13:49:16.656617
53,BMX,2016-03-15 13:49:16.665724,2016-03-15 13:49:16.665724
54,Badmington,2016-03-15 13:49:16.673691,2016-03-15 13:49:16.673691
55,Baseball,2016-03-15 13:49:16.682152,2016-03-15 13:49:16.682152
56,Basketball,2016-03-15 13:49:16.690307,2016-03-15 13:49:16.690307
57,Biathlon,2016-03-15 13:49:16.699119,2016-03-15 13:49:16.699119
58,Bowling,2016-03-15 13:49:16.708429,2016-03-15 13:49:16.708429
59,Boxe,2016-03-15 13:49:16.72477,2016-03-15 13:49:16.72477
60,Capoeira,2016-03-15 13:49:16.731944,2016-03-15 13:49:16.731944
61,Cheerleading,2016-03-15 13:49:16.740426,2016-03-15 13:49:16.740426
62,Course à pied,2016-03-15 13:49:16.748855,2016-03-15 13:49:16.748855
63,Cyclisme,2016-03-15 13:49:16.756857,2016-03-15 13:49:16.756857
64,Danse,2016-03-15 13:49:16.765841,2016-03-15 13:49:16.765841
65,Deltaplane,2016-03-15 13:49:16.774259,2016-03-15 13:49:16.774259
66,Equitation,2016-03-15 13:49:16.782888,2016-03-15 13:49:16.782888
67,Escalade,2016-03-15 13:49:16.790604,2016-03-15 13:49:16.790604
68,Escrime,2016-03-15 13:49:16.798577,2016-03-15 13:49:16.798577
69,Football,2016-03-15 13:49:16.807915,2016-03-15 13:49:16.807915
70,Golf,2016-03-15 13:49:16.814882,2016-03-15 13:49:16.814882
71,Gymnastique,2016-03-15 13:49:16.823876,2016-03-15 13:49:16.823876
72,Handball,2016-03-15 13:49:16.831989,2016-03-15 13:49:16.831989
73,Hockey sur glace,2016-03-15 13:49:16.841185,2016-03-15 13:49:16.841185
74,Judo,2016-03-15 13:49:16.848721,2016-03-15 13:49:16.848721
75,Karaté,2016-03-15 13:49:16.856992,2016-03-15 13:49:16.856992
76,Krav Maga,2016-03-15 13:49:16.865658,2016-03-15 13:49:16.865658
77,Kung-Fu,2016-03-15 13:49:16.873585,2016-03-15 13:49:16.873585
78,Luge,2016-03-15 13:49:16.882254,2016-03-15 13:49:16.882254
79,Lutte,2016-03-15 13:49:16.890492,2016-03-15 13:49:16.890492
80,Marathon,2016-03-15 13:49:16.898496,2016-03-15 13:49:16.898496
81,Musculation,2016-03-15 13:49:16.907352,2016-03-15 13:49:16.907352
82,Natation,2016-03-15 13:49:16.916453,2016-03-15 13:49:16.916453
83,Paintball,2016-03-15 13:49:16.931961,2016-03-15 13:49:16.931961
84,Parachute,2016-03-15 13:49:16.940529,2016-03-15 13:49:16.940529
85,Parapente,2016-03-15 13:49:16.949555,2016-03-15 13:49:16.949555
86,Parcour,2016-03-15 13:49:16.957224,2016-03-15 13:49:16.957224
87,Plongée,2016-03-15 13:49:16.96529,2016-03-15 13:49:16.96529
88,Plongée,2016-03-15 13:49:16.973729,2016-03-15 13:49:16.973729
89,Roller,2016-03-15 13:49:16.983043,2016-03-15 13:49:16.983043
90,Rugby,2016-03-15 13:49:16.991092,2016-03-15 13:49:16.991092
91,Skateboard,2016-03-15 13:49:16.998534,2016-03-15 13:49:16.998534
92,Ski,2016-03-15 13:49:17.007888,2016-03-15 13:49:17.007888
93,Snowboard,2016-03-15 13:49:17.016169,2016-03-15 13:49:17.016169
94,Surf,2016-03-15 13:49:17.024263,2016-03-15 13:49:17.024263
95,Tennis,2016-03-15 13:49:17.032598,2016-03-15 13:49:17.032598
96,Tir à l'arc,2016-03-15 13:49:17.039991,2016-03-15 13:49:17.039991
97,Triathlon,2016-03-15 13:49:17.048882,2016-03-15 13:49:17.048882
98,Volleyball,2016-03-15 13:49:17.057108,2016-03-15 13:49:17.057108
99,Water-polo,2016-03-15 14:05:14.953399,2016-03-15 14:05:14.953399
